"Cycle 1:CoEchem1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
8.048240e+002,9.155580e+003,8.990403e+003,8.990403e+003,,6.818560e+002,9.155580e+003,8.990403e+003,8.990403e+003
8.049240e+002,9.374610e+003,8.989877e+003,8.989877e+003,,6.817560e+002,9.374610e+003,8.989877e+003,8.989877e+003
8.050240e+002,9.247680e+003,8.989524e+003,8.989524e+003,,6.816560e+002,9.247680e+003,8.989524e+003,8.989524e+003
8.051240e+002,9.182820e+003,8.989260e+003,8.989260e+003,,6.815560e+002,9.182820e+003,8.989260e+003,8.989260e+003
8.052240e+002,9.197570e+003,8.988975e+003,8.988975e+003,,6.814560e+002,9.197570e+003,8.988975e+003,8.988975e+003
8.053240e+002,9.249640e+003,8.988618e+003,8.988618e+003,,6.813560e+002,9.249640e+003,8.988618e+003,8.988618e+003
8.054240e+002,9.310610e+003,8.988178e+003,8.988178e+003,,6.812560e+002,9.310610e+003,8.988178e+003,8.988178e+003
8.055240e+002,9.052400e+003,8.988090e+003,8.988090e+003,,6.811560e+002,9.052400e+003,8.988090e+003,8.988090e+003
8.056240e+002,8.988090e+003,8.988090e+003,8.988090e+003,,6.810560e+002,8.988090e+003,8.988090e+003,8.988090e+003
8.057240e+002,9.199020e+003,9.199020e+003,9.199020e+003,,6.809560e+002,9.199020e+003,9.199020e+003,9.199020e+003
