"Cycle 1:CoOTf1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.41","781.87","786.28","796.79","802.65",
FWHM,,"3.66","3.66","5.74","3.79","4.78",
Area,,"54536.57","40670.65","60855.51","39905.07","31127.76",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.781620e+002,6.854730e+004,6.812645e+004,6.812391e+004,6.815425e+004,6.817959e+004,6.855854e+004,6.811145e+004,6.869694e+004,,8.085180e+002,3.427365e+004,3.406323e+004,3.406195e+004,3.407713e+004,3.408979e+004,3.427927e+004,3.405573e+004,3.434847e+004
6.782620e+002,6.888980e+004,6.812340e+004,6.812084e+004,6.815152e+004,6.817770e+004,6.858543e+004,6.810829e+004,6.872573e+004,,8.084180e+002,3.444490e+004,3.406170e+004,3.406042e+004,3.407576e+004,3.408885e+004,3.429271e+004,3.405414e+004,3.436286e+004
6.783620e+002,6.862410e+004,6.812141e+004,6.811883e+004,6.814985e+004,6.817688e+004,6.861633e+004,6.810619e+004,6.875853e+004,,8.083180e+002,3.431205e+004,3.406071e+004,3.405942e+004,3.407492e+004,3.408844e+004,3.430816e+004,3.405310e+004,3.437927e+004
6.784620e+002,6.874390e+004,6.811893e+004,6.811634e+004,6.814768e+004,6.817556e+004,6.864998e+004,6.810360e+004,6.879409e+004,,8.082180e+002,3.437195e+004,3.405946e+004,3.405817e+004,3.407384e+004,3.408778e+004,3.432499e+004,3.405180e+004,3.439705e+004
6.785620e+002,6.936230e+004,6.811393e+004,6.811133e+004,6.814300e+004,6.817173e+004,6.868468e+004,6.809849e+004,6.883071e+004,,8.081180e+002,3.468115e+004,3.405696e+004,3.405566e+004,3.407150e+004,3.408586e+004,3.434234e+004,3.404924e+004,3.441536e+004
6.786620e+002,6.878560e+004,6.811125e+004,6.810864e+004,6.814063e+004,6.817021e+004,6.872561e+004,6.809569e+004,6.887356e+004,,8.080180e+002,3.439280e+004,3.405562e+004,3.405432e+004,3.407032e+004,3.408510e+004,3.436281e+004,3.404785e+004,3.443678e+004
6.787620e+002,6.928150e+004,6.810655e+004,6.810392e+004,6.813624e+004,6.816692e+004,6.876880e+004,6.809088e+004,6.891892e+004,,8.079180e+002,3.464075e+004,3.405327e+004,3.405196e+004,3.406812e+004,3.408346e+004,3.438440e+004,3.404544e+004,3.445946e+004
6.788620e+002,6.939860e+004,6.810135e+004,6.809871e+004,6.813135e+004,6.816317e+004,6.881613e+004,6.808556e+004,6.896846e+004,,8.078180e+002,3.469930e+004,3.405067e+004,3.404935e+004,3.406568e+004,3.408158e+004,3.440807e+004,3.404278e+004,3.448423e+004
6.789620e+002,6.904430e+004,6.809757e+004,6.809491e+004,6.812789e+004,6.816084e+004,6.886999e+004,6.808167e+004,6.902452e+004,,8.077180e+002,3.452215e+004,3.404878e+004,3.404746e+004,3.406394e+004,3.408042e+004,3.443499e+004,3.404083e+004,3.451226e+004
6.790620e+002,6.927670e+004,6.809283e+004,6.809016e+004,6.812346e+004,6.815754e+004,6.892834e+004,6.807681e+004,6.908507e+004,,8.076180e+002,3.463835e+004,3.404641e+004,3.404508e+004,3.406173e+004,3.407877e+004,3.446417e+004,3.403841e+004,3.454254e+004
