"Cycle 1:CoOTf1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,"S 2p","S 2p",
Position,,"168.27","169.45",
FWHM,,"1.92","1.92",
Area,,"4559.66","2279.83",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.321062e+003,1.174190e+003,1.130373e+003,1.107655e+003,1.102677e+003,1.135351e+003,,1.656180e+002,2.348380e+003,2.260747e+003,2.215310e+003,2.205355e+003,2.270702e+003
1.321162e+003,1.143030e+003,1.126912e+003,1.107313e+003,1.102632e+003,1.131594e+003,,1.655180e+002,2.286060e+003,2.253825e+003,2.214625e+003,2.205263e+003,2.263187e+003
1.321262e+003,1.150530e+003,1.123839e+003,1.107018e+003,1.102577e+003,1.128279e+003,,1.654180e+002,2.301060e+003,2.247678e+003,2.214035e+003,2.205154e+003,2.256559e+003
1.321362e+003,1.218870e+003,1.121973e+003,1.106645e+003,1.102445e+003,1.126173e+003,,1.653180e+002,2.437740e+003,2.243945e+003,2.213290e+003,2.204890e+003,2.252345e+003
1.321462e+003,1.168650e+003,1.120163e+003,1.106329e+003,1.102370e+003,1.124123e+003,,1.652180e+002,2.337300e+003,2.240327e+003,2.212658e+003,2.204739e+003,2.248245e+003
1.321562e+003,1.085460e+003,1.118410e+003,1.106123e+003,1.102350e+003,1.122183e+003,,1.651180e+002,2.170920e+003,2.236820e+003,2.212246e+003,2.204701e+003,2.244365e+003
1.321662e+003,1.181880e+003,1.117088e+003,1.105853e+003,1.102260e+003,1.120681e+003,,1.650180e+002,2.363760e+003,2.234175e+003,2.211706e+003,2.204520e+003,2.241361e+003
1.321762e+003,1.121640e+003,1.116052e+003,1.105651e+003,1.102238e+003,1.119465e+003,,1.649180e+002,2.243280e+003,2.232104e+003,2.211303e+003,2.204476e+003,2.238931e+003
1.321862e+003,1.131190e+003,1.115005e+003,1.105453e+003,1.102205e+003,1.118253e+003,,1.648180e+002,2.262380e+003,2.230011e+003,2.210906e+003,2.204410e+003,2.236507e+003
1.321962e+003,1.135830e+003,1.114007e+003,1.105277e+003,1.102167e+003,1.117117e+003,,1.647180e+002,2.271660e+003,2.228015e+003,2.210554e+003,2.204334e+003,2.234234e+003
1.322062e+003,1.174410e+003,1.113252e+003,1.105057e+003,1.102085e+003,1.116224e+003,,1.646180e+002,2.348820e+003,2.226504e+003,2.210113e+003,2.204169e+003,2.232447e+003
1.322162e+003,1.123730e+003,1.112554e+003,1.104894e+003,1.102060e+003,1.115388e+003,,1.645180e+002,2.247460e+003,2.225108e+003,2.209788e+003,2.204120e+003,2.230775e+003
1.322262e+003,1.130600e+003,1.111848e+003,1.104747e+003,1.102028e+003,1.114567e+003,,1.644180e+002,2.261200e+003,2.223696e+003,2.209493e+003,2.204055e+003,2.229134e+003
1.322362e+003,1.096720e+003,1.111288e+003,1.104632e+003,1.102022e+003,1.113898e+003,,1.643180e+002,2.193440e+003,2.222575e+003,2.209264e+003,2.204043e+003,2.227796e+003
1.322462e+003,1.094550e+003,1.110798e+003,1.104514e+003,1.102013e+003,1.113299e+003,,1.642180e+002,2.189100e+003,2.221596e+003,2.209029e+003,2.204026e+003,2.226599e+003
1.322562e+003,1.093220e+003,1.110307e+003,1.104401e+003,1.102003e+003,1.112705e+003,,1.641180e+002,2.186440e+003,2.220613e+003,2.208803e+003,2.204006e+003,2.225410e+003
1.322662e+003,1.184050e+003,1.109742e+003,1.104221e+003,1.101910e+003,1.112053e+003,,1.640180e+002,2.368100e+003,2.219484e+003,2.208441e+003,2.203820e+003,2.224105e+003
1.322762e+003,1.116670e+003,1.109366e+003,1.104116e+003,1.101893e+003,1.111589e+003,,1.639180e+002,2.233340e+003,2.218732e+003,2.208233e+003,2.203786e+003,2.223179e+003
