"Cycle 1:CoEchem1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.56","782.07","786.19","796.93","802.59",
FWHM,,"3.36","3.36","6.00","3.53","5.19",
Area,,"10393.60","7912.32","12828.12","7306.91","6166.48",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.761240e+002,2.721460e+004,2.731521e+004,2.731485e+004,2.732075e+004,2.732135e+004,2.735248e+004,2.731291e+004,2.737300e+004,,8.105560e+002,1.360730e+004,1.365761e+004,1.365743e+004,1.366037e+004,1.366068e+004,1.367624e+004,1.365646e+004,1.368650e+004
6.762240e+002,2.738110e+004,2.731492e+004,2.731456e+004,2.732051e+004,2.732118e+004,2.735345e+004,2.731260e+004,2.737420e+004,,8.104560e+002,1.369055e+004,1.365746e+004,1.365728e+004,1.366026e+004,1.366059e+004,1.367672e+004,1.365630e+004,1.368710e+004
6.763240e+002,2.742000e+004,2.731445e+004,2.731409e+004,2.732010e+004,2.732083e+004,2.735424e+004,2.731212e+004,2.737523e+004,,8.103560e+002,1.371000e+004,1.365722e+004,1.365704e+004,1.366005e+004,1.366041e+004,1.367712e+004,1.365606e+004,1.368761e+004
6.764240e+002,2.704340e+004,2.731326e+004,2.731290e+004,2.731896e+004,2.731976e+004,2.735447e+004,2.731091e+004,2.737569e+004,,8.102560e+002,1.352170e+004,1.365663e+004,1.365645e+004,1.365948e+004,1.365988e+004,1.367723e+004,1.365546e+004,1.368785e+004
6.765240e+002,2.759730e+004,2.731198e+004,2.731161e+004,2.731774e+004,2.731860e+004,2.735568e+004,2.730962e+004,2.737715e+004,,8.101560e+002,1.379865e+004,1.365599e+004,1.365581e+004,1.365887e+004,1.365930e+004,1.367784e+004,1.365481e+004,1.368857e+004
6.766240e+002,2.745020e+004,2.731136e+004,2.731099e+004,2.731717e+004,2.731809e+004,2.735756e+004,2.730898e+004,2.737926e+004,,8.100560e+002,1.372510e+004,1.365568e+004,1.365550e+004,1.365859e+004,1.365905e+004,1.367878e+004,1.365449e+004,1.368963e+004
6.767240e+002,2.733550e+004,2.731125e+004,2.731089e+004,2.731712e+004,2.731812e+004,2.735995e+004,2.730886e+004,2.738190e+004,,8.099560e+002,1.366775e+004,1.365563e+004,1.365544e+004,1.365856e+004,1.365906e+004,1.367998e+004,1.365443e+004,1.369095e+004
6.768240e+002,2.724680e+004,2.731099e+004,2.731062e+004,2.731691e+004,2.731800e+004,2.736219e+004,2.730858e+004,2.738439e+004,,8.098560e+002,1.362340e+004,1.365550e+004,1.365531e+004,1.365846e+004,1.365900e+004,1.368109e+004,1.365429e+004,1.369220e+004
6.769240e+002,2.712170e+004,2.731017e+004,2.730980e+004,2.731615e+004,2.731732e+004,2.736162e+004,2.730774e+004,2.738408e+004,,8.097560e+002,1.356085e+004,1.365508e+004,1.365490e+004,1.365807e+004,1.365866e+004,1.368081e+004,1.365387e+004,1.369204e+004
6.770240e+002,2.729720e+004,2.731014e+004,2.730977e+004,2.731617e+004,2.731743e+004,2.736418e+004,2.730770e+004,2.738690e+004,,8.096560e+002,1.364860e+004,1.365507e+004,1.365488e+004,1.365809e+004,1.365871e+004,1.368209e+004,1.365385e+004,1.369345e+004
6.771240e+002,2.741780e+004,2.730966e+004,2.730928e+004,2.731574e+004,2.731709e+004,2.736650e+004,2.730720e+004,2.738949e+004,,8.095560e+002,1.370890e+004,1.365483e+004,1.365464e+004,1.365787e+004,1.365854e+004,1.368325e+004,1.365360e+004,1.369474e+004
6.772240e+002,2.718820e+004,2.730914e+004,2.730877e+004,2.731528e+004,2.731671e+004,2.736903e+004,2.730666e+004,2.739228e+004,,8.094560e+002,1.359410e+004,1.365457e+004,1.365438e+004,1.365764e+004,1.365836e+004,1.368452e+004,1.365333e+004,1.369614e+004
6.773240e+002,2.757490e+004,2.730794e+004,2.730757e+004,2.731415e+004,2.731566e+004,2.737114e+004,2.730545e+004,2.739467e+004,,8.093560e+002,1.378745e+004,1.365397e+004,1.365378e+004,1.365707e+004,1.365783e+004,1.368557e+004,1.365272e+004,1.369733e+004
6.774240e+002,2.709740e+004,2.730703e+004,2.730665e+004,2.731330e+004,2.731490e+004,2.737383e+004,2.730452e+004,2.739765e+004,,8.092560e+002,1.354870e+004,1.365351e+004,1.365333e+004,1.365665e+004,1.365745e+004,1.368691e+004,1.365226e+004,1.369882e+004
6.775240e+002,2.726330e+004,2.730686e+004,2.730648e+004,2.731320e+004,2.731491e+004,2.737758e+004,2.730433e+004,2.740170e+004,,8.091560e+002,1.363165e+004,1.365343e+004,1.365324e+004,1.365660e+004,1.365745e+004,1.368879e+004,1.365217e+004,1.370085e+004
6.776240e+002,2.747100e+004,2.730613e+004,2.730574e+004,2.731252e+004,2.731434e+004,2.738111e+004,2.730358e+004,2.740553e+004,,8.090560e+002,1.373550e+004,1.365306e+004,1.365287e+004,1.365626e+004,1.365717e+004,1.369055e+004,1.365179e+004,1.370276e+004
6.777240e+002,2.710230e+004,2.730524e+004,2.730486e+004,2.731170e+004,2.731362e+004,2.738487e+004,2.730267e+004,2.740960e+004,,8.089560e+002,1.355115e+004,1.365262e+004,1.365243e+004,1.365585e+004,1.365681e+004,1.369244e+004,1.365134e+004,1.370480e+004
6.778240e+002,2.758990e+004,2.730396e+004,2.730357e+004,2.731049e+004,2.731251e+004,2.738865e+004,2.730137e+004,2.741368e+004,,8.088560e+002,1.379495e+004,1.365198e+004,1.365179e+004,1.365524e+004,1.365625e+004,1.369433e+004,1.365069e+004,1.370684e+004
6.779240e+002,2.737190e+004,2.730366e+004,2.730327e+004,2.731025e+004,2.731238e+004,2.739388e+004,2.730106e+004,2.741921e+004,,8.087560e+002,1.368595e+004,1.365183e+004,1.365163e+004,1.365512e+004,1.365619e+004,1.369694e+004,1.365053e+004,1.370961e+004
